timestamp,count
1980-09-25T14:01:00Z,182.478
1980-09-25T14:02:00Z,176.231
1980-09-25T14:03:00Z,183.917
1980-09-25T14:04:00Z,177.798
1980-09-25T14:05:00Z,165.469
1980-09-25T14:06:00Z,181.878
1980-09-25T14:07:00Z,184.502
1980-09-25T14:08:00Z,183.303
1980-09-25T14:09:00Z,177.578
1980-09-25T14:10:00Z,171.641
1980-09-25T14:11:00Z,191.014
1980-09-25T14:12:00Z,184.068
1980-09-25T14:13:00Z,188.457
1980-09-25T14:14:00Z,175.739
1980-09-25T14:15:00Z,175.524
1980-09-25T14:16:00Z,189.128
1980-09-25T14:17:00Z,176.885
1980-09-25T14:18:00Z,167.14
1980-09-25T14:19:00Z,173.723
1980-09-25T14:20:00Z,168.46
1980-09-25T14:21:00Z,177.623
1980-09-25T14:22:00Z,183.888
1980-09-25T14:23:00Z,167.487
1980-09-25T14:24:00Z,165.572
1980-09-25T14:25:00Z,170.48
1980-09-25T14:26:00Z,172.474
1980-09-25T14:27:00Z,166.448
1980-09-25T14:28:00Z,163.098
1980-09-25T14:29:00Z,163.544
1980-09-25T14:30:00Z,163.816
1980-09-25T14:31:00Z,186.38
1980-09-25T14:32:00Z,178.898
1980-09-25T14:33:00Z,166.19
1980-09-25T14:34:00Z,165.544
1980-09-25T14:35:00Z,166.867
1980-09-25T14:36:00Z,178.212
1980-09-25T14:37:00Z,169.749
1980-09-25T14:38:00Z,169.483
1980-09-25T14:39:00Z,165.488
1980-09-25T14:40:00Z,159.746
1980-09-25T14:41:00Z,172.564
1980-09-25T14:42:00Z,166.777
1980-09-25T14:43:00Z,168.385
1980-09-25T14:44:00Z,165.223
1980-09-25T14:45:00Z,157.756
1980-09-25T14:46:00Z,175.925
1980-09-25T14:47:00Z,166.959
1980-09-25T14:48:00Z,164.471
1980-09-25T14:49:00Z,162.761
1980-09-25T14:50:00Z,163.818
1980-09-25T14:51:00Z,169.341
1980-09-25T14:52:00Z,165.941
1980-09-25T14:53:00Z,164.946
1980-09-25T14:54:00Z,156.219
1980-09-25T14:55:00Z,159.29
1980-09-25T14:56:00Z,161.539
1980-09-25T14:57:00Z,157.605
1980-09-25T14:58:00Z,151.828
1980-09-25T14:59:00Z,154.479
1980-09-25T15:00:00Z,151.459
1980-09-25T15:01:00Z,180.53
1980-09-25T15:02:00Z,171.3
1980-09-25T15:03:00Z,171.844
1980-09-25T15:04:00Z,163.034
1980-09-25T15:05:00Z,153.117
1980-09-25T15:06:00Z,157.77
1980-09-25T15:07:00Z,165.823
1980-09-25T15:08:00Z,163.57
1980-09-25T15:09:00Z,159.084
1980-09-25T15:10:00Z,162.019
1980-09-25T15:11:00Z,167.267
1980-09-25T15:12:00Z,167.108
1980-09-25T15:13:00Z,166.51
1980-09-25T15:14:00Z,158.249
1980-09-25T15:15:00Z,158.625
1980-09-25T15:16:00Z,168.985
1980-09-25T15:17:00Z,156.887
1980-09-25T15:18:00Z,155.343
1980-09-25T15:19:00Z,151.819
1980-09-25T15:20:00Z,160.722
1980-09-25T15:21:00Z,168.085
1980-09-25T15:22:00Z,163.103
1980-09-25T15:23:00Z,158.216
1980-09-25T15:24:00Z,157.37
1980-09-25T15:25:00Z,152.185
1980-09-25T15:26:00Z,159.28
1980-09-25T15:27:00Z,154.135
1980-09-25T15:28:00Z,148.597
1980-09-25T15:29:00Z,148.528
1980-09-25T15:30:00Z,144.448
1980-09-25T15:31:00Z,168.824
1980-09-25T15:32:00Z,161.965
1980-09-25T15:33:00Z,148.596
1980-09-25T15:34:00Z,148.214
1980-09-25T15:35:00Z,148.805
